Name,Time,Stat,Sportsbook,Sportsbook Line,DFS Line,Discrepancy,Over Price,Under Price,% Over,% Under,Payout,Higher/Lower,EV
Nikola Jokic,6:00pm,Assists,Pinnacle,9.5,9.5,0,1.649,2.15,0.5659384048433798,0.4340615951566201,0.89x,Higher,-23.3%
LaMelo Ball,4:00pm,Assists,Pinnacle,6.5,6.5,0,1.649,2.15,0.5659384048433798,0.4340615951566201,0.89x,Higher,-23.3%
Kentavious Caldwell-Pope,4:00pm,Points,Pinnacle,8.5,8.5,0.0,2.01,1.746,0.4648562300319488,0.535143769968051,0.94x,Lower,-23.6%
Shaedon Sharpe,5:00pm,Pts + Rebs + Asts,Pinnacle,26.5,26.5,0,1.854,1.877,0.5030822835700884,0.4969177164299115,1x,Higher,-23.6%
Brandon Miller,4:00pm,Points,Pinnacle,23.5,23.0,-0.5,2.08,1.694,0.4977894001697455,0.5022105998302545,1x,Lower,-24.0%
Jalen Williams,7:00pm,Assists,Pinnacle,4.5,4.5,0,1.595,2.24,0.5840938722294655,0.4159061277705345,0.86x,Higher,-24.0%
Andrew Wiggins,7:00pm,Pts + Rebs + Asts,Pinnacle,23.5,23.5,0.0,1.877,1.862,0.4979941160738166,0.5020058839261835,1x,Lower,-24.1%
Bogdan Bogdanovic,4:30pm,Points,Pinnacle,12.5,12.5,0.0,1.877,1.862,0.4979941160738166,0.5020058839261835,1x,Lower,-24.1%
Jalen Williams,7:00pm,Pts + Rebs + Asts,Pinnacle,34.5,34.5,0,1.862,1.877,0.5020058839261835,0.4979941160738166,1x,Higher,-24.1%
Jalen Johnson,4:30pm,Pts + Rebs + Asts,Pinnacle,32.5,32.5,0.0,1.877,1.862,0.4979941160738166,0.5020058839261835,1x,Lower,-24.1%
Isaiah Stewart,4:00pm,Pts + Rebs + Asts,Pinnacle,16.5,16.5,0.0,1.877,1.862,0.4979941160738166,0.5020058839261835,1x,Lower,-24.1%
Jaylen Brown,4:30pm,Pts + Rebs + Asts,Pinnacle,32.5,32.5,0.0,1.877,1.862,0.4979941160738166,0.5020058839261835,1x,Lower,-24.1%
RJ Barrett,4:00pm,Rebounds,Pinnacle,6.5,6.5,0.0,2.17,1.636,0.4298476090383605,0.5701523909616395,0.88x,Lower,-24.2%
Russell Westbrook,6:00pm,Points,Pinnacle,11.5,11.5,0.0,2.0,1.757,0.4676603673143466,0.5323396326856535,0.94x,Lower,-24.8%
Tobias Harris,4:00pm,Rebounds,Pinnacle,7.5,7.5,0.0,2.05,1.719,0.456089148315203,0.5439108516847969,0.92x,Lower,-24.8%
Christian Braun,6:00pm,Pts + Rebs + Asts,Pinnacle,20.5,20.5,0.0,1.869,1.869,0.5,0.5,1x,Lower,-25.0%
Christian Braun,6:00pm,Pts + Rebs + Asts,Pinnacle,20.5,20.5,0,1.869,1.869,0.5,0.5,1x,Higher,-25.0%
Kevin Huerter,7:00pm,Points,Pinnacle,9.5,9.5,0,1.869,1.869,0.5,0.5,1x,Higher,-25.0%
Jalen Williams,7:00pm,Rebounds,Pinnacle,5.5,5.5,0,1.662,2.13,0.5617088607594937,0.4382911392405063,0.89x,Higher,-25.0%
Kevin Huerter,7:00pm,Points,Pinnacle,9.5,9.5,0.0,1.869,1.869,0.5,0.5,1x,Lower,-25.0%
Domantas Sabonis,7:00pm,Points,Pinnacle,17.5,17.5,0.0,1.869,1.869,0.5,0.5,1x,Lower,-25.0%
Domantas Sabonis,7:00pm,Points,Pinnacle,17.5,17.5,0,1.869,1.869,0.5,0.5,1x,Higher,-25.0%
Jalen Johnson,4:30pm,Rebounds,Pinnacle,9.5,9.5,0.0,1.99,1.757,0.4689084601014144,0.5310915398985856,0.94x,Lower,-25.3%
Daniel Gafford,4:30pm,Rebounds,Pinnacle,6.5,6.5,0,1.724,2.04,0.5419766206163655,0.4580233793836344,0.92x,Higher,-25.6%
DeMar DeRozan,7:00pm,Assists,Pinnacle,3.5,3.5,0.0,2.04,1.724,0.4580233793836344,0.5419766206163655,0.92x,Lower,-25.6%
Payton Pritchard,4:30pm,Assists,Pinnacle,2.5,2.5,0,1.571,2.29,0.5931105931105932,0.4068894068894069,0.84x,Higher,-25.8%
Tyrese Haliburton,4:00pm,Assists,Pinnacle,9.5,9.5,0.0,2.09,1.689,0.4469436358825087,0.5530563641174915,0.9x,Lower,-26.0%
Shai Gilgeous-Alexander,7:00pm,Assists,Pinnacle,6.5,6.5,0.0,2.15,1.653,0.4346568498553774,0.5653431501446227,0.88x,Lower,-26.1%
Christian Braun,6:00pm,Points,Pinnacle,13.5,13.5,0,1.694,2.08,0.5511393746687865,0.4488606253312135,0.9x,Higher,-26.8%
